x,y,text
2017-12-25 00:00:00,22325,Flip the bean over so it gets an even tan line.
2017-11-25 00:00:00,5684,Attend a Bean event on Facebook
2017-12-25 00:00:00,5763,Give Rahm a Ride Out of Town on the Bean
2017-12-10 00:00:00,2799,Flick the Bean
2019-03-01 00:00:00,1828,Bean Badness Tourney
2017-12-25 00:00:00,5354,Mr. Bean at The Bean
2018-04-22 00:00:00,500,Mr. Bean at the Bean
2017-12-09 00:00:00,5408,Help The Bean Turn Back into Alex Mack
2017-12-15 00:00:00,791,Fill the Bean with Helium and Release it Back to the Universe
2017-12-25 00:00:00,1542,Boof the bean
2017-12-15 00:00:00,311,Cover the Bean
2017-12-06 00:00:00,5423,The Bean's Coming Out Party
2018-01-23 00:00:00,4839,Eat beans at the Bean with George Wendt
2018-03-21 00:00:00,654,Serenade the Bean
2021-10-31 00:00:00,675,Cheen the bean
2017-12-24 00:00:00,481,"""Sing ""Beans, Beans, the Musical Fruit"" at The Bean"""
2018-02-14 00:00:00,479,Date the bean
2017-12-25 00:00:00,563,Integrate The Bean to Find its Volume.
2017-12-10 00:00:00,1620,Sing  KRUSTY KRAB PIZZA   In Front of Bean. 
2017-12-24 00:00:00,471,Blend the Bean into the Worldâ€™s Largest Vanilla Bean Frap
2017-12-25 00:00:00,7573,Help the bean escape the socio-economic problems of Chicago
2018-01-01 00:00:00,524,Shower The Bean In Dollar Bills
2020-04-20 00:00:00,1191,Tell the Bean to keep up the good work
2018-02-14 00:00:00,4051,Tell the Bean how much you don't like sand
2017-12-17 00:00:00,3499,Process the Finality of Bean Events at The Bean
2018-01-06 00:00:00,2672,Cheer on Mr. Bean as he pours beans on The Bean
2017-12-09 00:00:00,653,Ice Skate On Top of the Bean
2018-11-22 00:00:00,15317,Roll the bean into the lake to see if it floats
2017-12-08 00:00:00,639,Put Googly eyes all over the bean to make people feel uncomfortable
2017-12-25 00:00:00,424,"Pet the Bean and refer to it as a ""Good Boy"""
2017-12-25 00:00:00,1571,Circle jerk around the bean and make it a creamy Christmas
2019-02-02 00:00:00,272,Vote for The Bean for Alderman of the 25th Ward
2019-08-06 00:00:00,843,King of the Bean for next mayor of Chicago
2017-12-24 00:00:00,707,I'm adopting the Bean and I want you all to be there.
2017-12-31 00:00:00,376,LEAVE THE BEAN ALOOONE lol these events are too epic
2018-08-25 00:00:00,509,Go to the bean and ask it how it really feels about all the attention
2018-02-06 00:00:00,1186,"""Be Nice to the Bean, Give it Pineapple Pizza"""
2018-01-06 00:00:00,578,"Learn to speak The Bean's language so we can open ""The Portal"""
2017-12-16 00:00:00,3044,Put a giant handle on The Bean and play curling with it
2018-03-10 00:00:00,412,Chicago's Million RICK March! @the Bean/(BANGER)
2017-12-31 00:00:00,450,"Sing ""Where Have You Bean All My Life?"" at the Bean"
2018-06-03 00:00:00,1071,Fist Bump The Bean With The Monument To Joe Louis
2018-01-01 00:00:00,6731,Yell I HAVE NEVER IN MY LIFE YELLED AT A BEAN LIKE THIS at the bean
2018-05-12 00:00:00,7446,Go to the Chicago Bean for no reason.
2018-09-12 00:00:00,2326,Take the Bean to Grand Rapids as a Submission to ArtPrize 10
2018-01-07 00:00:00,3485,Let Everyone Know We Don't Care What Color The Bean Is
2018-03-17 00:00:00,1963,"Scream ""INUYASHA!!! ""  ""KAGOME!!!""in front of the bean Chicago downtown  "
2017-12-23 00:00:00,2109,Stop Millennials from Ruining the Bean
2018-01-27 00:00:00,6006,Fling Rahm at Trump Tower Strapped To The Bean Using The Picasso
2018-01-31 00:00:00,221,Sleigh Bells with Sunflower Bean 1/31
2018-01-26 00:00:00,5343,Institute Full Communism at the Bean
2018-02-06 00:00:00,7653,"Sing ""Billie Jean"" To The Bean (But Replace The Word ""Jean"" With ""Bean"")"
2017-12-23 00:00:00,1083,"Scream ""Santa is REAL"" in front of the bean"
2017-12-25 00:00:00,2648,"Read excerpts from ""the communist manifesto"" at the bean"
2017-12-28 00:00:00,544,Orchestrate a hostile take over of the Democratic Party at the Bean
2018-02-08 00:00:00,576,"Yell ""Are You Talkin' To Me?! at the Bean"
2027-10-28 00:00:00,501,"""Gaze Wistfully at the Bean & Say ""It's Bean Too Long, My Friend"""""
2017-12-29 00:00:00,70,Morgan Geist / Beaner
2017-12-23 00:00:00,4304,Recite Tears in the Rain to the Bean
2017-12-23 00:00:00,2784,Secretly Relocate Christkindlmarket To The Bean When Rahm Isn't Looking
2018-04-20 00:00:00,471,Set up counseling appointments for bean to let him know everything is okay
2018-09-22 00:00:00,822,Be The Collective We & Honorary Suite Mates at the Bean
